"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Warning","06/16/2022 07:50:38 PM","","PROBLEM","ST02.DDOCKS","Interface GigabitEthernet6/1/18(): Ethernet speed <1Gbps","1m 8d 14h","No","",""
"Warning","06/16/2022 07:50:38 PM","","PROBLEM","ST02.DDOCKS","Interface GigabitEthernet1/1/14(): Ethernet speed <1Gbps","1m 8d 14h","No","",""
"Warning","06/16/2022 07:50:38 PM","","PROBLEM","ST02.DDOCKS","Interface GigabitEthernet1/1/3(): Ethernet speed <1Gbps","1m 8d 14h","No","",""
"Warning","06/16/2022 07:50:40 PM","","PROBLEM","Old.BLD01.DDOCKS","Interface GigabitEthernet1/1/1(): Ethernet speed <1Gbps","1m 8d 14h","No","",""
"Warning","06/16/2022 07:50:40 PM","","PROBLEM","Old.BLD01.DDOCKS","Interface GigabitEthernet1/1/7(): Ethernet speed <1Gbps","1m 8d 14h","No","",""
"Warning","06/17/2022 12:51:13 AM","","PROBLEM","ST03.DDOCKS","Interface GigabitEthernet9/1/16(): Ethernet speed <1Gbps","1m 8d 9h","No","",""
"Warning","06/17/2022 12:51:13 AM","","PROBLEM","ST03.DDOCKS","Interface GigabitEthernet3/1/6(): Ethernet speed <1Gbps","1m 8d 9h","No","",""
"Warning","06/17/2022 12:51:13 AM","","PROBLEM","ST03.DDOCKS","Interface GigabitEthernet4/1/8(): Ethernet speed <1Gbps","1m 8d 9h","No","",""
"Warning","06/17/2022 12:51:13 AM","","PROBLEM","ST03.DDOCKS","Interface GigabitEthernet4/1/7(): Ethernet speed <1Gbps","1m 8d 9h","No","",""
"Warning","06/17/2022 05:51:23 AM","","PROBLEM","ST04.DDOCKS","Interface GigabitEthernet5/1/6(): Ethernet speed <1Gbps","1m 8d 4h","No","",""
"Warning","06/17/2022 05:51:23 AM","","PROBLEM","ST04.DDOCKS","Interface GigabitEthernet3/1/23(): Ethernet speed <1Gbps","1m 8d 4h","No","",""
"Warning","06/17/2022 11:51:25 AM","","PROBLEM","ST01.DDOCKS","Interface GigabitEthernet7/1/10(): Ethernet speed <1Gbps","1m 7d 22h","No","Actions (1)",""
"Warning","06/17/2022 11:51:26 AM","","PROBLEM","ST01.DDOCKS","Interface GigabitEthernet1/1/18(): Ethernet speed <1Gbps","1m 7d 22h","No","Actions (1)",""
"Warning","06/17/2022 11:51:26 AM","","PROBLEM","ST01.DDOCKS","Interface GigabitEthernet1/1/16(): Ethernet speed <1Gbps","1m 7d 22h","No","Actions (1)",""
"Warning","07/23/2022 09:46:23 PM","","PROBLEM","ST04.DDOCKS","Interface GigabitEthernet5/1/15(): Ethernet speed <1Gbps","1d 12h 22m","No","",""
